,vocals,accompaniment,drums,bass,other,MIX
A Classic Education - NightOwl (0),113,1532,19,1376,167,1646
A Classic Education - NightOwl (1),43,1905,19,1830,73,1946
A Classic Education - NightOwl (2),91,725,19,618,81,824
A Classic Education - NightOwl (3),85,743,27,624,92,828
A Classic Education - NightOwl (4),113,900,20,790,89,1011
A Classic Education - NightOwl (5),224,1389,19,1286,94,1609
A Classic Education - NightOwl (6),132,805,24,625,164,941
A Classic Education - NightOwl (7),21,2193,11,2096,80,2213
A Classic Education - NightOwl (8),154,1224,26,1095,95,1385
A Classic Education - NightOwl (9),3,987,32,880,86,989
A Classic Education - NightOwl (10),159,949,21,839,91,1104
A Classic Education - NightOwl (11),155,1337,14,1247,88,1498
A Classic Education - NightOwl (12),161,1015,23,913,86,1183
A Classic Education - NightOwl (13),82,1714,16,1545,146,1794
A Classic Education - NightOwl (14),128,1865,24,1774,89,1990
A Classic Education - NightOwl (15),116,1377,18,1270,81,1495
A Classic Education - NightOwl (16),108,1171,32,1036,87,1279
A Classic Education - NightOwl (17),68,1095,13,972,107,1164
A Classic Education - NightOwl (18),180,1626,24,1504,97,1804
A Classic Education - NightOwl (19),100,493,7,422,68,599
A Classic Education - NightOwl (20),177,1331,17,1127,192,1504
A Classic Education - NightOwl (21),143,1486,17,1226,269,1632
A Classic Education - NightOwl (22),154,1477,16,1170,298,1628
A Classic Education - NightOwl (23),215,1994,13,1654,338,2210
A Classic Education - NightOwl (24),244,1637,16,1332,285,1878
A Classic Education - NightOwl (25),108,1687,23,1335,323,1788
A Classic Education - NightOwl (26),202,1415,29,1083,302,1616
A Classic Education - NightOwl (27),207,1611,20,1287,301,1812
A Classic Education - NightOwl (28),218,1715,20,1347,348,1935
A Classic Education - NightOwl (29),201,1858,16,1546,294,2054
A Classic Education - NightOwl (30),183,1793,23,1456,315,1970
A Classic Education - NightOwl (31),261,1504,13,1188,300,1766
A Classic Education - NightOwl (32),70,1838,37,1182,635,1911
A Classic Education - NightOwl (33),1,2175,27,1201,947,2175
A Classic Education - NightOwl (34),0,1759,24,883,893,1759
